"Ciudad";"Precio";"Area_m2";"Habitaciones";"Banios";"Parqueadero";"Estrato";"Es_destacado"
" Envigado";700290000;109,32;3;3;3;5;0
" Bello";293887400;63,91;2;2;2;4;0
" Barranquilla";387415200;80,88;3;2;2;4;0
" Bello";498500000;126;3;4;4;4;0
" Bogota";124152000;29,56;1;1;1;3;0
" Barranquilla";427897000;95,3;3;2;2;4;0
" San Antonio de Pereira";489114000;73;3;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Rionegro";377229331;66,45;2;2;2;5;0
" La Tebaida";141855000;57,9;3;2;2;2;0
" Envigado";864080000;130,18;3;4;4;5;0
" Bogota";765400000;72,68;2;3;3;4;0
" Bogota";123900000;29,5;1;1;1;3;0
" Envigado";837220000;127,87;3;4;4;5;0
" Envigado";586900000;88,15;2;2;2;5;0
" La Tebaida";142149000;58,02;3;2;2;2;0
" La Tebaida";139975000;55,99;3;2;2;2;0
" Rionegro";383841287;68,82;3;2;2;5;0
" Bello";246865386;54,1;2;2;2;4;0
" Bogota";416900000;35,35;1;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Palmira";318328979;85,99;2;2;2;5;0
" Bello";337242600;75,59;3;2;2;4;0
" Bogota";98200000;40,53;2;1;1;2;0
" Bello";289335000;64,7;2;2;2;4;0
" Bello";331596305;76,3;3;2;2;4;0
" Bello";288887400;63,91;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" Armenia";160342000;61,67;3;3;3;4;0
" Bello";285712000;75;3;2;2;4;0
" Bello";471965701;111,15;3;4;4;4;0
" Rionegro";440742891;79,53;3;2;2;5;0
" Barranquilla";274000000;41,48;1;1;1;5;0
" Bello";337478200;76,13;3;2;2;4;0
" Armenia";180432000;64,44;3;3;3;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Rionegro";413497355;76,25;3;2;2;5;0
" Bello";404415315;95,15;3;2;2;4;0
" Bello";339641200;88;3;2;2;4;0
" Rionegro";330698500;57,36;2;2;2;5;0
" Barranquilla";1279334000;214,62;4;5;5;6;0
" Bogota";96000000;45,57;3;1;1;2;0
" Palmira";318328979;85,99;2;2;2;5;0
" Rionegro";336838447;58,5;2;2;2;5;0
" Barranquilla";1137518000;189,74;4;5;5;6;0
" Bogota";110000000;51,13;3;2;2;2;0
" Bogota";121000000;51,13;3;2;2;2;0
" Barranquilla";394000000;55,21;1;1;1;5;0
" Cajica";256563000;46,65;3;2;2;4;1
" Bogota";116000000;50,37;3;2;2;2;0
" Palmira";318328979;85,99;2;2;2;5;0
" Bogota";125000000;52,07;3;2;2;2;0
" Bello";304001289;68,8;3;2;2;4;0
" Bogota";122000000;51,95;3;2;2;2;0
" Bogota";465378000;84,47;3;3;3;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Puerto Colombia";1181000000;161;3;2;2;5;0
" Bello";360394000;83;3;2;2;4;0
" Pereira";516800000;120,26;1;2;2;6;0
" Palmira";318328979;85,99;2;2;2;5;0
" Bello";242425425;53;2;2;2;4;0
" Barranquilla";986012000;163,16;4;5;5;6;0
" Santa Marta";134000000;67,74;3;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bello";311409391;70,65;3;2;2;4;0
" Bogota";127000000;52,89;3;2;2;2;0
" Palmira";318328979;85,99;2;2;2;5;0
" Barranquilla";879536000;144,48;4;5;5;6;0
" Pereira";454000000;83,21;1;2;2;6;0
" Bogota";427969000;77,65;3;3;3;3;0
" Bogota";432031000;76,49;2;2;2;3;0
" Bello";439745500;100;3;4;4;4;0
" Santa Marta";175000000;67,7;3;2;2;3;0
" Bogota";445268000;83,96;3;3;3;3;0
" Bogota";119000000;50,61;3;2;2;2;0
" Pereira";675900000;163,36;3;3;3;6;0
" Cajica";256563000;46,65;3;2;2;4;1
" Bogota";319000000;45,65;1;2;2;3;0
" Armenia";299000000;60,86;2;2;2;6;0
" Armenia";210000000;41,6;1;2;2;6;0
" Bello";187985200;65,22;3;2;2;3;0
" Bogota";395438000;72,76;3;2;2;3;0
" Bogota";1042400000;125,39;2;3;3;6;0
" Bogota";150000000;24,61;3;2;2;3;1
" Bucaramanga";390000000;88,32;2;2;2;4;0
" Envigado";449162000;61;1;2;2;5;0
" Bogota";1301030000;151,63;1;3;3;6;0
" Bogota";318500000;45,65;1;2;2;3;0
" Bogota";464895000;47,36;1;2;2;5;0
" Bogota";433300000;79,18;3;3;3;3;0
" Bogota";318350000;45,65;1;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Armenia";292000000;59,18;2;2;2;6;0
" Envigado";555212569;78,2;3;2;2;5;0
" Bogota";458896000;46;1;1;1;6;0
" Bogota";489108000;89,26;3;3;3;3;0
" Bucaramanga";640000000;154,69;3;2;2;4;0
" Envigado";606729404;87,95;3;2;2;5;0
" Bogota";888660000;105,61;2;3;3;6;0
" Retiro";870988600;121;2;3;3;5;0
" Bogota";405567000;71,32;2;2;2;3;0
" Fusagasuga";1200000000;469;4;3;3;3;0
" Envigado";604182000;84;3;2;2;5;0
" Bogota";318350000;45,65;1;2;2;3;0
" Cajica";256563000;46,65;3;2;2;4;1
" Envigado";1258490000;172,49;3;4;4;6;0
" Medellin";786200000;95,78;2;3;3;6;0
" Bogota";320000000;45,65;1;2;2;3;0
" Bello";204424000;71,4;3;2;2;3;0
" San Antonio de Prado";139965035;43,84;2;2;2;3;0
" Itagui";450357500;84;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" La Estrella";341635000;68,63;3;2;2;4;0
" Bucaramanga";450000000;93,53;3;2;2;4;0
" Medellin";363002164;44,32;1;2;2;6;0
" La Estrella";149000000;50,55;2;2;2;3;0
" Bello";155600000;54;3;2;2;3;0
" Retiro";492041276;68,8;2;2;2;5;0
" Armenia";310000000;61,81;2;2;2;6;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bucaramanga";575000000;113,17;3;2;2;4;0
" Envigado";458684276;84;3;2;2;4;0
" San Antonio de Prado";149000000;52;2;1;1;3;0
" Envigado";601181425;86,74;2;3;3;5;0
" Santa Marta";264601404;62,9;2;2;2;4;0
" Bogota";621639000;60;2;2;2;6;0
" Medellin";1363033000;171,27;4;5;5;6;0
" Bello";361335300;84,94;3;2;2;4;0
" Sabaneta";288870000;48,53;1;2;2;4;0
" Envigado";521280000;72;2;2;2;5;0
" Retiro";940130000;129;2;3;3;5;0
" Bogota";611317000;64,42;2;2;2;5;0
" Bogota";112155000;33,35;3;2;2;3;1
" Envigado";615491201;86,74;2;3;3;5;0
" Medellin";854000000;109,54;3;3;3;6;0
" Bello";260803200;63,44;3;2;2;4;0
" Sabaneta";308480000;49,56;1;2;2;4;0
" Envigado";528576362;95;3;2;2;4;0
" Retiro";370904468;52,83;1;2;2;5;0
" Bogota";163883578;30,61;3;2;2;3;1
" Itagui";496113500;92;3;2;2;4;0
" La Estrella";295730000;57,94;2;2;2;4;0
" Llano Grande";1535180000;166,3;3;4;4;6;0
" Armenia";345000000;68,17;2;2;2;6;0
" Santa Marta";202091722;46,49;1;2;2;4;0
" Medellin";642903786;86,16;3;2;2;6;0
" Sabaneta";397440000;68,33;2;2;2;4;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";318500000;45,65;1;2;2;3;0
" Envigado";1233490000;167,29;3;4;4;6;0
" Envigado";377170000;65,07;3;2;2;4;0
" Envigado";354570000;65,07;3;2;2;4;0
" Bogota";343651000;32,74;1;1;1;5;0
" Medellin";1460315901;171,27;4;5;5;6;0
" Envigado";570886208;80,4;3;2;2;5;0
" Retiro";1083060000;204,5;3;3;3;5;0
" Bogota";762600000;73;2;2;2;6;0
" Armenia";333000000;64,28;2;2;2;6;0
" Jamundi";198800000;85,5;3;2;2;4;0
" San Antonio de Prado";145148925;43,84;2;2;2;3;0
" Bogota";112155000;33,35;3;2;2;3;1
" Bogota";328937000;34,86;1;1;1;5;0
" Medellin";344477340;41,75;1;1;1;6;0
" Medellin";742000000;94,47;2;3;3;6;0
" Bello";297020000;74;3;2;2;4;0
" Envigado";672850893;98,92;3;3;3;5;0
" Bello";335367800;78,44;3;2;2;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Envigado";1220690000;167,29;3;4;4;6;0
" Medellin";746500000;91,73;2;3;3;6;0
" Itagui";389201500;72;3;2;2;4;0
" Armenia";420000000;85,29;3;2;2;6;0
" Bogota";691800000;113,08;2;3;3;3;0
" La Estrella";294685000;56,98;2;2;2;4;0
" Medellin";525445984;71,91;2;3;3;6;0
" Bogota";516100000;63;3;2;2;5;1
" Envigado";593753806;77,8;3;2;2;5;0
" Retiro";681336037;102,98;3;3;3;5;0
" Envigado";1245690000;172,49;3;4;4;6;0
" Bogota";319000000;45,65;1;2;2;3;0
" Bello";208387400;72,89;3;2;2;3;0
" Llano Grande";2170440000;245,4;4;5;5;6;0
" Sabaneta";413130000;76,69;3;2;2;4;0
" Retiro";588119683;83,2;3;2;2;5;0
" Envigado";868625511;137,89;3;4;4;5;0
" Bogota";341015000;33,57;1;1;1;5;0
" Bello";385667350;90,53;3;2;2;4;0
" Envigado";391380000;76,16;3;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Envigado";588087578;84,17;2;3;3;5;0
" Sabaneta";407080000;68,33;2;2;2;4;0
" Medellin";542122266;74,14;2;3;3;6;0
" Envigado";425990000;76,16;3;2;2;4;0
" Bello";441397600;104,48;3;3;3;4;0
" Medellin";358079624;41,75;1;1;1;6;0
" Bogota";150000000;24,61;3;2;2;3;1
" Bogota";614500000;85,45;2;3;3;3;0
" Sabaneta";443670000;77,56;3;2;2;4;0
" Bello";228216200;54,29;2;2;2;4;0
" Bello";435005600;102,88;3;3;3;4;0
" Envigado";568944233;84,17;2;3;3;5;0
" Llano Grande";1417520000;143,5;2;3;3;6;0
" Envigado";589129629;87,6;3;2;2;5;0
" Bogota";777126000;97,76;3;2;2;5;1
" Sabaneta";412637000;69,82;2;2;2;4;0
" Bello";341600000;80;3;2;2;4;0
" Envigado";532056323;73,9;3;2;2;5;0
" Bogota";388186000;38,47;1;1;1;5;0
" Sabaneta";303280000;49,56;1;2;2;4;0
" Medellin";723800000;91,95;2;3;3;6;0
" Bogota";320000000;45,65;1;2;2;3;0
" Envigado";886181114;137,89;3;4;4;5;0
" Bogota";645300000;105,7;2;3;3;3;0
" Retiro";599306230;89,06;3;2;2;5;0
" Medellin";721277360;103,94;3;3;3;6;0
" Medellin";899000000;111,54;3;3;3;6;0
" Bogota";112155000;33,35;3;2;2;3;1
" Sabaneta";454310000;77,56;3;2;2;4;0
" Envigado";644814183;98,92;3;3;3;5;0
" Sabaneta";412380000;76,69;3;2;2;4;0
" Medellin";628840548;86,16;3;2;2;6;0
" Bucaramanga";335000000;78;3;2;2;4;0
" Bucaramanga";285000000;64;2;2;2;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Sabaneta";288480000;48,53;1;2;2;4;0
" Medellin";528059028;74,14;2;3;3;6;0
" Sabaneta";417590000;77,83;3;2;2;4;0
" Bello";184420000;63,88;3;2;2;3;0
" Sabaneta";404637000;69,82;2;2;2;4;0
" Sabaneta";498950000;87,76;3;2;2;4;0
" Envigado";531978162;76,6;3;2;2;5;0
" Bogota";516100000;63;3;2;2;5;1
" Bello";259476800;62,56;3;2;2;4;0
" Bucaramanga";350000000;83;3;2;2;4;0
" Sabaneta";470760000;83,08;2;3;3;4;0
" Bello";251050800;60,86;3;2;2;4;0
" Sabaneta";417220000;77,83;3;2;2;4;0
" Bucaramanga";315000000;71;3;2;2;4;0
" Medellin";731357510;103,94;3;3;3;6;0
" Sabaneta";489280000;87,76;3;2;2;4;0
" Bello";262504200;63,89;3;2;2;4;0
" Medellin";520121604;71,91;2;3;3;6;0
" Medellin";387685186;44,32;1;2;2;6;0
" Sabaneta";474710000;83,08;2;3;3;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Villavicencio";122700000;54;3;1;1;3;0
" Bogota";696300000;124;3;3;3;6;0
" Bogota";346800000;80;3;2;2;3;0
" Villavicencio";89300000;40;2;1;1;3;0
" Cartagena";118200000;56;2;1;1;2;0
" Ibague";126000000;56;2;1;1;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Ibague";81800000;40;2;1;1;3;0
" Ricaurte";122700000;53;2;1;1;3;0
" Bogota";426700000;79;3;2;2;4;0
" Bogota";3753300000;281;3;4;4;6;0
" Madrid";237900000;76;3;2;2;3;0
" Chia";202200000;40;1;2;2;3;0
" Bogota";323500000;77;3;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bucaramanga";310000000;70;3;2;2;4;0
" Bogota";130400000;50;2;1;1;3;0
" Cajica";533200000;102;3;3;3;4;0
" Madrid";150000000;47;2;1;1;3;0
" Bogota";490100000;71;3;2;2;4;0
" Bogota";155500000;45;2;1;1;3;0
" Ibague";85500000;40;2;1;1;3;0
" Cajica";363100000;76;2;2;2;5;0
" Chia";914900000;136;3;3;3;6;0
" Bogota";155600000;45;2;1;1;3;0
" Ricaurte";126100000;49;2;1;1;3;0
" Bogota";411600000;81;3;2;2;3;0
" Cajica";256563000;46,65;3;2;2;4;1
" Soledad";102600000;51;2;1;1;2;0
" Bogota";496300000;89;3;2;2;4;0
" Bogota";279900000;45;1;1;1;4;0
" Bogota";466500000;68;3;2;2;4;0
" Puerto Colombia";140000000;56;3;1;1;3;0
" Villavicencio";265500000;74;3;2;2;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Ricaurte";263500000;66;3;2;2;3;0
" Villavicencio";272400000;71;2;2;2;4;0
" Villavicencio";140000000;52;2;1;1;3;0
" Bogota";138300000;50;2;1;1;3;0
" Barranquilla";135900000;56,56;2;1;1;3;0
" Guasca";1781100000;227;4;4;4;6;0
" Chia";228500000;54;1;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bogota";414600000;67;2;2;2;4;0
" Bogota";582000000;88;3;2;2;5;0
" Cartagena";122700000;58;2;1;1;3;0
" Ricaurte";170300000;53;2;2;2;3;0
" Cota";1086600000;159;3;4;4;5;0
" Madrid";134000000;56;2;1;1;3;0
" Cartagena";129900000;56;2;1;1;3;0
" Bogota";425700000;91;3;2;2;4;0
" Bogota";155500000;45;2;1;1;3;0
" Barranquilla";240600000;63;3;2;2;3;0
" Bogota";426300000;71;3;2;2;4;0
" Madrid";282300000;72;3;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Bogota";819100000;128;3;3;3;5;0
" Soledad";89500000;55;3;1;1;3;0
" Chia";964900000;148;3;3;3;6;0
" Bogota";351400000;71;3;2;2;3;0
" Bogota";456100000;79;3;2;2;4;0
" Ricaurte";128200000;53;2;1;1;3;0
" Bogota";150000000;24,61;3;2;2;3;1
" Barranquilla";449100000;77;3;2;2;4;0
" Ibague";134000000;56;2;1;1;3;0
" Cartagena";242700000;51;2;1;1;5;0
" Barranquilla";978400000;190;3;5;5;6;0
" Cartagena";432400000;74;2;2;2;5;0
" Cartagena";148900000;56;2;1;1;3;0
" Bogota";502800000;73;3;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bogota";155600000;45;2;1;1;3;0
" Soledad";118600000;71;3;1;1;3;0
" Cartagena";208700000;63;2;1;1;3;0
" Cartagena";470100000;89;3;2;2;4;0
" Villavicencio";134000000;56;2;1;1;3;0
" Bogota";557800000;73;2;2;2;4;0
" Barranquilla";264600000;72;3;2;2;4;0
" Soledad";77900000;43;2;1;1;2;0
" Bogota";130400000;51;2;1;1;3;0
" Chia";274400000;59;1;2;2;3;0
" Bogota";449200000;86;3;2;2;3;0
" Madrid";311100000;95;3;2;2;4;0
" Bogota";112155000;33,35;3;2;2;3;1
" Puerto Colombia";134000000;55;3;1;1;3;0
" Madrid";320200000;82;3;2;2;4;0
" Soledad";135700000;59;3;1;1;3;0
" Guasca";2104200000;255;4;4;4;6;0
" Bogota";550400000;90;3;2;2;4;0
" Bogota";155500000;45;2;1;1;3;0
" Bogota";163883578;30,61;3;2;2;3;1
" Cartagena";357400000;63;2;2;2;4;0
" Cajica";452200000;90;3;3;3;4;0
" Barranquilla";137900000;56,56;2;1;1;3;0
" Barranquilla";808400000;146;3;5;5;6;0
" Villavicencio";128200000;52;2;1;1;3;0
" Bogota";127300000;43;2;1;1;3;0
" Bogota";479300000;75;3;2;2;4;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";747900000;144;3;4;4;6;0
" Cajica";364100000;77;2;2;2;5;0
" Bogota";457200000;80;3;2;2;4;0
" Villavicencio";297000000;78;3;2;2;4;0
" Soledad";108200000;51;2;1;1;2;0
" Villavicencio";140000000;52;2;1;1;3;0
" Chia";245200000;58;2;2;2;3;0
" Cartagena";242700000;50;1;1;1;5;0
" Madrid";280600000;85;3;2;2;4;0
" Bogota";489900000;83;3;2;2;4;0
" Bogota";666500000;101;3;2;2;4;0
" Barranquilla";268700000;71;3;2;2;3;0
" Cajica";256563000;46,65;3;2;2;4;1
" Cajica";382300000;76;2;2;2;5;0
" Bogota";520100000;91;3;2;2;4;0
" Bogota";138300000;51;2;1;1;3;0
" Bogota";356100000;57;2;2;2;4;0
" Bogota";550600000;96;3;2;2;4;0
" Bogota";600100000;88;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" Bogota";289700000;58;2;2;2;3;0
" Bogota";496500000;97;3;2;2;3;0
" Cartagena";213900000;37;1;1;1;5;0
" Villavicencio";356800000;100;3;3;3;4;0
" Bogota";700600000;124;3;3;3;6;0
" Madrid";268700000;68;3;2;2;4;0
" Bogota";496600000;92;3;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Barranquilla";825700000;145;3;5;5;6;0
" Chia";213400000;50;1;1;1;3;0
" Bogota";393100000;65;2;2;2;4;0
" Bogota";435200000;103;3;2;2;4;0
" Barranquilla";411700000;78;3;2;2;4;0
" Barranquilla";308400000;75;3;2;2;4;0
" Cartagena";395400000;79;2;2;2;4;0
" Guasca";2331600000;292;4;4;4;6;0
" Barranquilla";138900000;56,56;2;1;1;3;0
" Cartagena";520700000;94;3;2;2;5;0
" Bogota";588600000;78;3;2;2;4;0
" Bogota";658800000;113;3;3;3;5;0
" Bogota";112155000;33,35;3;2;2;3;1
" Soledad";135700000;71;3;1;1;3;0
" Madrid";261900000;67;3;2;2;4;0
" Cartagena";289800000;47;2;1;1;4;0
" Soledad";110200000;58;3;1;1;3;0
" Villavicencio";285200000;78;3;2;2;4;0
" Cartagena";512700000;94;3;2;2;5;0
" Bogota";163883578;30,61;3;2;2;3;1
" Soledad";108200000;50;2;1;1;2;0
" Cajica";415500000;84;3;2;2;5;0
" Bogota";517400000;86;3;2;2;4;0
" Bogota";679700000;93;3;2;2;4;0
" Cartagena";207700000;62;2;1;1;3;0
" Barranquilla";489000000;88;3;3;3;4;0
" Bogota";424400000;68;2;2;2;4;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";286400000;48;2;2;2;4;0
" Bogota";713200000;112;3;3;3;5;0
" Cartagena";300800000;53;2;1;1;5;0
" Barranquilla";255100000;67;3;2;2;4;0
" Bogota";572900000;88;3;2;2;4;0
" Bogota";344700000;71;3;2;2;3;0
" Cartagena";514300000;93;3;2;2;5;0
" Bogota";371900000;69;2;2;2;4;0
" Bogota";542000000;93;3;2;2;4;0
" Guasca";2043200000;292;4;4;4;6;0
" Barranquilla";471200000;88;3;3;3;4;0
" Bogota";642300000;87;3;2;2;4;0
" Bogota";112155000;33,35;3;2;2;3;1
" Cajica";200600000;40;2;1;1;5;0
" Bogota";566100000;87;3;2;2;4;0
" Bogota";922100000;128;3;2;2;4;0
" Bogota";424300000;73;2;2;2;4;0
" Barranquilla";238400000;60;2;2;2;4;0
" Barranquilla";261000000;75;3;2;2;4;0
" Bogota";163883578;30,61;3;2;2;3;1
" Bogota";625300000;105;3;2;2;4;0
" Villavicencio";373700000;98;3;3;3;4;0
" Bogota";561700000;74;3;2;2;4;0
" Bogota";470800000;76;3;2;2;4;0
" Bogota";450700000;78;3;2;2;4;0
" Cajica";527100000;106;3;3;3;5;0
" Cartagena";242700000;60;2;1;1;5;0
" Bogota";516100000;63;3;2;2;5;1
" Cartagena";443400000;79;2;2;2;4;0
" Bogota";354100000;71;3;2;2;3;0
" Bogota";406400000;68;3;2;2;4;0
" Bogota";393200000;64;2;2;2;4;0
" Bogota";758300000;104;3;2;2;4;0
" Madrid";258300000;66;3;2;2;4;0
" Bogota";459700000;80;3;2;2;4;0
" Bogota";300000000;58;2;2;2;3;0
" Soledad";124000000;71;3;1;1;3;0
" Bogota";605300000;89;3;2;2;4;0
" Barranquilla";502200000;89;3;3;3;4;0
" Bogota";511800000;72;2;2;2;4;0
" Bogota";112155000;33,35;3;2;2;3;1
" Bogota";428300000;72;2;2;2;4;0
" Bogota";566300000;96;3;2;2;4;0
" Bogota";538500000;91;3;2;2;4;0
" Chia";498000000;116,25;3;3;3;4;0
" Villavicencio";301100000;100;3;3;3;4;0
" Cajica";333300000;66;2;1;1;5;0
" Bogota";163883578;30,61;3;2;2;3;1
" Cartagena";514000000;89;3;2;2;4;0
" Bogota";405100000;74;3;2;2;4;0
" Bogota";486000000;70;3;2;2;4;0
" Bogota";552900000;75;3;2;2;4;0
" Villavicencio";259800000;71;2;2;2;4;0
" Bogota";499300000;83;3;2;2;4;0
" Bogota";571400000;97;3;2;2;4;0
" Bogota";516100000;63;3;2;2;5;1
" Bogota";651500000;88;3;2;2;4;0
" Bogota";415700000;73;3;2;2;4;0
" Bogota";509500000;86;3;2;2;4;0
" Cajica";377000000;77;2;2;2;5;0
" Bogota";719500000;104;3;2;2;4;0
" Cartagena";242700000;73;2;1;1;5;0
" Barranquilla";351500000;77;3;2;2;4;0
" Bogota";398700000;58;2;2;2;4;0
" Bogota";552100000;94;3;2;2;4;0
" Bogota";452000000;76;3;2;2;4;0
" Barranquilla";375900000;76;3;2;2;4;0
" Soledad";120600000;58;3;1;1;3;0
" Cajica";256563000;46,65;3;2;2;4;1
" Bogota";699600000;91;3;2;2;4;0
" Bogota";497700000;84;3;2;2;4;0
" Bogota";618800000;106;3;2;2;4;0
" Bogota";388900000;64;2;2;2;4;0
" Cartagena";489000000;60;1;1;1;5;0
" Barranquilla";444796000;101,09;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" Cajica";422800000;85;3;2;2;5;0
" Bogota";521200000;90;3;2;2;4;0
" Barranquilla";611400000;107;4;4;4;4;0
" Bogota";582600000;99;3;2;2;4;0
" Barranquilla";278600000;67,06;2;2;2;4;0
" Bogota";480600000;79;3;2;2;4;0
" Barranquilla";312500000;76,99;2;2;2;4;0
" Bogota";777126000;97,76;3;2;2;5;1
" Bogota";480600000;79;3;2;2;4;0
" Bogota";797500000;102;3;2;2;4;0
" Bogota";358800000;61;2;2;2;4;0
" Bogota";581000000;100;3;2;2;4;0
" Bogota";660600000;87;3;2;2;4;0
" Barranquilla";603700000;109;4;4;4;4;0
" Bogota";507200000;92;3;2;2;4;0
" Barranquilla";597600000;108;4;4;4;4;0
" Fusagasuga";216611000;81,74;3;2;2;3;0
" Bogota";520400000;87;3;2;2;4;0
" Barranquilla";362900000;89,79;3;2;2;4;0
" Bogota";453100000;67;3;2;2;4;0
" Cajica";256563000;46,65;3;2;2;4;1
" Sabaneta";189045000;42,01;3;2;2;3;0
" Barranquilla";459979000;112,19;3;2;2;4;0
" Sabaneta";284278000;60,93;3;2;2;3;0
" Barranquilla";482549200;116,84;3;2;2;4;0
" Barranquilla";517414800;119,22;3;2;2;4;0
" Cartagena";646960000;85,2;3;2;2;5;0
" Bogota";150000000;24,61;3;2;2;3;1
" Sabaneta";284364000;60,84;3;2;2;3;0
" Barranquilla";498363200;116,44;3;2;2;4;0
" Santa Marta";455000000;119,55;3;3;3;4;0
" Cartagena";496680000;70,4;2;2;2;5;0
" Cartagena";795000000;100;3;2;2;5;0
" Fusagasuga";230000000;85,44;3;2;2;3;0
" Fusagasuga";199862000;76,87;2;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Cartagena";489000000;60;1;1;1;5;0
" Sabaneta";278364000;59,48;3;2;2;3;0
" Fusagasuga";193125000;77,25;3;2;2;3;0
" Sabaneta";270900000;60,2;3;2;2;3;0
" Sabaneta";294660000;65,48;3;2;2;3;0
" Fusagasuga";226260000;83,8;3;2;2;3;0
" Sabaneta";313875000;69,75;3;2;2;3;0
" Cartagena";486340000;69,9;1;1;1;5;0
" Santa Marta";405000000;114;3;3;3;4;0
" Sabaneta";205054000;43,49;3;2;2;3;0
" Barranquilla";469067500;115,25;3;2;2;4;0
" Sabaneta";313830000;69,74;3;2;2;3;0
" Cajica";256563000;46,65;3;2;2;4;1
" Armenia";438000000;108,05;3;2;2;5;0
" Cartagena";818650000;111;4;2;2;5;0
" Armenia";533400000;124,7;3;2;2;5;0
" Sabaneta";261910000;55,85;3;2;2;3;0
" Cartagena";486000000;60;1;1;1;5;0
" Barranquilla";501307000;122,27;3;2;2;4;0
" Bogota";150000000;24,61;3;2;2;3;1
" Armenia";469900000;109,34;3;2;2;5;0
" Sabaneta";249398000;53,13;3;2;2;3;0
" Sabaneta";264026000;56,31;3;2;2;3;0
" Bogota";225000000;58;3;2;2;3;0
" Barranquilla";305372200;73,94;2;2;2;4;0
" Barranquilla";302293000;73,73;2;2;2;4;0
" Fusagasuga";180090000;66,7;2;2;2;3;0
" Bogota";777126000;97,76;3;2;2;5;1
" Barranquilla";495979000;120,85;3;2;2;4;0
" Bogota";503125000;76,58;2;3;3;5;0
" Armenia";360300000;87,18;3;2;2;5;0
" Cartagena";851000000;118;4;3;3;5;0
" Barranquilla";501151310;126,61;3;2;2;4;0
" Santiago de Cali";327000000;54;1;2;2;6;0
" Santiago de Cali";528000000;94,88;3;2;2;6;0
" Santiago de Cali";582000000;104,54;3;3;3;6;0
" Cartagena";486000000;60;1;1;1;5;0
" Bogota";195000000;58;3;2;2;3;0
" Bogota";266000000;60;3;2;2;3;0
" Cartagena";480000000;60;1;1;1;5;0
