"Ciudad";"Precio";"Area_m2";"Habitaciones";"Banios";"Parqueadero";"Estrato";"Es_destacado"
" Bogota";381050000;72;3;2;2;4;0
" Bogota";312337998;33;1;1;1;5;0
" Bogota";429070000;75;2;2;2;4;0
" Cartagena";1632000000;126;3;2;2;6;0
" Puerto Colombia";548983205;91,97;3;2;2;5;0
" Bogota";1589927343;153;3;2;2;5;0
" Santiago de Cali";162400000;55,73;2;2;2;4;0
" Bogota";258941000;33,86;1;1;1;3;0
" Santiago de Cali";162400000;65,14;3;2;2;4;0
" Bogota";371049000;72;3;2;2;4;0
" Barranquilla";379110000;104;3;2;2;5;0
" Bogota";771108190;94;3;2;2;5;0
" Bogota";112155000;33,35;3;2;2;3;1
" Cartagena";346938000;85;2;2;2;4;0
" Santa Marta";183480990;32,42;1;1;1;6;0
" La Calera";1454000000;2,53;3;2;2;6;0
" Bogota";567188326;64;3;2;2;5;0
" Bogota";411490500;56,13;2;2;2;3;0
" Medellin";750177224;84;2;3;3;6;0
" Bogota";163883578;30,61;3;2;2;3;1
" Bogota";504930000;89;3;2;2;4;0
" Bogota";280000000;59,4;3;2;2;3;0
" Barranquilla";376991089;89;3;3;3;4;0
" Santa Marta";267748200;48,33;1;1;1;6;0
" Barranquilla";408610000;104;3;2;2;5;0
" Barranquilla";386060000;103,72;3;2;2;5;0
" Bogota";801242671;111;3;2;2;5;0
" Bogota";516100000;63;3;2;2;5;1
" Puerto Colombia";622276867;107,68;3;3;3;5;0
" Santa Marta";154734800;27,83;1;1;1;6;0
" Chinchina";381502500;90,65;3;2;2;5;0
" Bogota";406615000;76;3;2;2;4;0
" Calarca";133270000;57,27;3;1;1;2;0
" Barranquilla";445374500;128,35;4;5;5;5;0
" Santa Marta";257202000;48,41;1;2;2;6;0
" Cartagena";2714000000;211;3;2;2;6;0
" Bogota";3147180200;309,98;3;5;5;6;0
" Bogota";191764000;24,23;1;1;1;3;0
" Bogota";437200000;84;2;2;2;4;0
" Bogota";576263584;65;3;2;2;5;0
" Cajica";256563000;46,65;3;2;2;4;1
" Chinchina";425931500;102,19;3;2;2;5;0
" Bogota";679330753;77;3;2;2;5;0
" Bogota";207000000;47,67;2;2;2;3;0
" Cartagena";407063000;100;3;2;2;4;0
" Bogota";230000000;47,67;2;2;2;3;0
" Bogota";563395667;73;3;2;2;5;0
" Bogota";150000000;24,61;3;2;2;3;1
" Bogota";414778500;56,61;2;2;2;3;0
" Santa Marta";560644480;85,36;2;2;2;6;0
